Time: 2020 1 2 13:23:6.61  LOC: X:-2171735.22  Y:4385978.71  Z:4076262.57
iiindex      Error_distance          E                N             DOP                FrequencyDrift
   1              215.13            211.26            40.61           388.27              1.92
   2              406.01            393.76            98.98           390.63              2.12
   3              607.52            600.39            92.85           401.74              2.29
   4              162.29            150.80            59.97           396.74              2.26
   5              654.12            644.48            111.91           385.28              1.90
   6              733.43            731.10           -58.45           397.74              2.16
   7              557.44            557.24           -14.99           406.44              2.49
   8              513.25            454.23           -238.96           395.30              2.59
   9              129.93            23.06           -127.87           398.24              2.55
  10              420.91            413.41           -79.10           401.93              2.44
  11              397.88            393.03            61.88           393.81              2.33
  12              457.34            439.98           -124.81           395.36              2.55
  13              763.82            763.47           -23.25           398.23              2.31
  14              564.05            511.57            237.58           390.72              1.94
  15              685.61            678.74            96.81           392.68              2.50
  16              402.12            382.21           -124.95           400.27              2.61
  17              202.14            181.87           -88.23           400.26              2.28
  18              479.62            478.11            38.10           397.63              1.89
  19              902.92            902.05            39.45           396.46              2.52
  20              865.65            865.62           -6.81           389.04              1.96
  21              544.70            538.22           -83.79           387.64              2.10
  22              235.34            202.24           -120.36           387.92              2.22
  23              730.48            726.85           -72.74           396.28              2.52
  24              411.65            407.97            54.91           399.83              2.10
  25              861.23            853.84           -112.52           391.43              2.36
  26              932.03            929.44            69.44           396.71              2.22
  27              351.13            304.55            174.76           401.43              2.20
  28              395.86            392.47            51.66           409.80              2.34
  29              565.30            555.69            103.80           384.42              2.18
  30              676.67            673.24            68.07           405.79              2.01
  31              652.43            648.43            72.17           389.86              2.21
  32              442.78            344.74            277.86           391.77              1.84
  33              754.01            753.60           -24.72           392.38              2.38
  34              255.70            193.96           -166.62           385.68              2.33
  35              277.53            277.34            10.21           391.47              2.63
  36              902.70            902.70            2.36           384.29              2.40
  37              459.41            406.08            214.84           391.21              2.00
  38              232.43            232.29            8.01           401.66              2.41
  39              598.02            596.65           -40.52           396.09              2.15
  40              174.96            173.65           -21.36           392.04              2.27
  41              564.90            544.12           -151.80           383.63              2.47
  42              388.33            387.59           -24.02           397.32              2.54
  43              849.83            838.06            140.94           415.80              1.82
  44              538.74            532.41           -82.34           404.38              2.22
  45              49.59           -38.08           -31.77           390.23              2.49
  46              612.48            609.66           -58.73           394.12              2.26
  47              619.16            616.85           -53.43           399.85              2.49
  48              369.50            367.11            42.01           407.07              1.99
  49              267.37            264.95           -35.88           400.70              2.00
  50              304.03            272.64           -134.54           409.50              2.52
mean              502.79            485.71            1.33           395.94              2.27
  260              485.71
 MinFrequencyDrift        2.19
