40	3.62732200000000	28287717.6000000
88	7.94726229000000	28287308.4000000
136	12.2672554300000	28286900
147	13.2575904300000	28286814.5000000
184	16.5872797100000	28286500.8000000
195	17.5773224300000	28286372.9000000
232	20.9071485700000	28286073.5000000
243	21.8971308600000	28285961.2000000
280	25.2271060000000	28285640.5000000
291	26.2171245700000	28285529.6000000
328	29.5472067100000	28285209.6000000
339	30.5371254300000	28285093.3000000
376	33.8671120000000	28284756.4000000
387	34.8570092900000	28284655
435	39.1770537100000	28284194.1000000
483	43.4969457100000	28283743.3000000
531	47.8169831400000	28283275.4000000
579	52.1368770000000	28282803.4000000
627	56.4568408600000	28282315.8000000
675	60.7768114300000	28281838.9000000
723	65.0967842900000	28281331.5000000
771	69.4167651400000	28280833.6000000
819	73.7367228600000	28280318.9000000
837	75.3567428600000	28280128.2000000
867	78.0567132900000	28279816.9000000
885	79.6768601400000	28279620.6000000
915	82.3766927100000	28279293.9000000
933	83.9966581400000	28279094.7000000
963	86.6966565700000	28278760.3000000
981	88.3166608600000	28278573.7000000
1011	91.0166425700000	28278229.7000000
1029	92.6366351400000	28278036.2000000
1059	95.3366418600000	28277696.9000000
1077	96.9566134300000	28277504.7000000
1107	99.6566160000000	28277169.9000000
1125	101.276596000000	28276962.8000000
1155	103.976696710000	28276633.1000000
1173	105.596573430000	28276411
1221	109.916563430000	28275867.2000000
1269	114.236557710000	28275314.2000000
1317	118.556533430000	28274760.9000000
1365	122.876529860000	28274207
1413	127.196522140000	28273647.4000000
1437	129.356893140000	28273353.2000000
1461	131.516516430000	28273072.7000000
1485	133.676539000000	28272799.4000000
1509	135.836512430000	28272523.6000000
1533	137.996530290000	28272238.1000000
1557	140.156508860000	28271945.5000000
1581	142.316513570000	28271659.6000000
1602	144.206927000000	28271431.7000000
1605	144.476504140000	28271385.2000000
1629	146.636509570000	28271107.9000000
1653	148.796508140000	28270820.2000000
1677	150.956501140000	28270539.8000000
1701	153.116538710000	28270273.4000000
1725	155.276506860000	28269975.5000000
1749	157.436626710000	28269710.4000000
1773	159.596505430000	28269407.7000000
1797	161.756681140000	28269125.3000000
1821	163.916514140000	28268844
1869	168.236514140000	28268279.8000000
1917	172.556521860000	28267725.1000000
1965	176.876540570000	28267170.8000000
1986	178.766545140000	28266926.7000000
2013	181.196552860000	28266611.7000000
2034	183.086689860000	28266366.4000000
2061	185.516555570000	28266057.3000000
2082	187.406571710000	28265814.4000000
2085	187.676775710000	28265765.5000000
2109	189.836574000000	28265509.8000000
2130	191.726594000000	28265274.1000000
2133	191.996704570000	28265238.8000000
2157	194.156581290000	28264959.4000000
2178	196.046597290000	28264733.8000000
2181	196.316971140000	28264695.1000000
2205	198.476606570000	28264417
2226	200.366611860000	28264189.8000000
2229	200.637099860000	28264157.8000000
2253	202.796620000000	28263888.1000000
2274	204.686622290000	28263653.8000000
2277	204.957030290000	28263632.1000000
2301	207.116655000000	28263358.6000000
2322	209.006649140000	28263126.5000000
2325	209.276797430000	28263126.1000000
2349	211.436679860000	28262827.2000000
2370	213.326662710000	28262600.7000000
2397	215.756786860000	28262331
2418	217.646684290000	28262084.6000000
2466	221.966717140000	28261570.3000000
2514	226.286739140000	28261065.4000000
2562	230.606768570000	28260566.6000000
2610	234.926803000000	28260068.2000000
2640	237.626866570000	28259755.8000000
2658	239.246831000000	28259581.2000000
2688	241.946936430000	28259274.6000000
2706	243.566868860000	28259093.8000000
2736	246.267140860000	28258803.2000000
2754	247.886908290000	28258619.2000000
2784	250.586931570000	28258321.7000000
2802	252.206933860000	28258153.6000000
2832	254.906977430000	28257878.1000000
2850	256.526965570000	28257702.1000000
2880	259.226985860000	28257398.5000000
2898	260.847010570000	28257231.5000000
2928	263.547018000000	28256957
2946	265.167047430000	28256794.5000000
2976	267.867056290000	28256526.5000000
2994	269.487084710000	28256357.8000000
3024	272.187078000000	28256091.8000000
3042	273.807137570000	28255937.2000000
3072	276.507119430000	28255661.2000000
3090	278.127291710000	28255522.4000000
3120	280.827170290000	28255235.8000000
3168	285.147209290000	28254834.5000000
3216	289.467249000000	28254434
3264	293.787293860000	28254032.7000000
3270	294.327573710000	28253996.4000000
3294	296.487527140000	28253792.7000000
3312	298.107334570000	28253648.8000000
3342	300.807398000000	28253409.9000000
3360	302.427392860000	28253274.4000000
3408	306.747443430000	28252905
619	55.7396708600000	28304397.9000000
667	60.0595474300000	28304331.5000000
763	68.6991451400000	28304172
811	73.0190537100000	28304092.4000000
859	77.3389474300000	28304029.4000000
907	81.6588584300000	28303946.8000000
955	85.9787745700000	28303856.9000000
1003	90.2986790000000	28303773.9000000
1051	94.6185957100000	28303686.9000000
1099	98.9385007100000	28303588.6000000
1147	103.258425140000	28303500.2000000
1195	107.578333140000	28303406
1243	111.898270860000	28303283.6000000
1291	116.218162710000	28303181.6000000
1339	120.538075000000	28303079.1000000
1387	124.857981140000	28302962.2000000
1435	129.177899570000	28302834.3000000
1483	133.497811860000	28302712.6000000
1531	137.817734430000	28302581.5000000
1579	142.137658860000	28302452.3000000
1627	146.456356000000	28302212.4000000
1781	160.317442860000	28301825.3000000
1829	164.637378570000	28301626.8000000
1841	165.717232710000	28301571.1000000
1877	168.957211430000	28301464.9000000
2117	190.557093570000	28300516.4000000
2165	194.876686570000	28300276.7000000
2213	199.196601710000	28300074.7000000
2741	246.716104860000	28296902.4000000
2789	251.035751000000	28296568.6000000
2837	255.355676570000	28296174
2885	259.675571140000	28295791.4000000
2933	263.995557000000	28295402
2981	268.315628140000	28294986.2000000
3029	272.635385710000	28294557
