Time: 2020 1 2 13:23:6.61  LOC: X:-2171735.22  Y:4385978.71  Z:4076262.57
iiindex      Error_distance          E                N             DOP                FrequencyDrift
   1              486.67            478.78            87.27           407.31              1.67
   2              469.45            464.89            65.26           394.25              1.21
   3              336.81            238.23            238.09           405.82              1.55
   4              574.68            548.36            171.93           391.65              1.63
   5              435.15            411.22            142.33           392.27              1.28
   6              523.34            514.39            96.37           384.46              1.64
   7              515.20            493.53            147.86           396.87              1.35
   8              795.10            743.07            282.88           402.00              1.25
   9              153.10            82.59            128.92           395.05              1.24
  10              707.66            699.54            106.90           391.90              1.64
  11              524.26            513.62            105.08           391.83              1.65
  12              521.12            350.33            385.79           389.25              0.99
  13              528.15            486.84            204.78           393.49              1.51
  14              527.26            446.37            280.64           396.04              1.45
  15              1132.84            1083.36            331.11           393.31              1.11
  16              309.98            298.55            83.40           402.70              1.61
  17              659.62            615.12            238.17           406.34              1.40
  18              845.16            785.67            311.48           390.20              1.68
  19              1114.97            1067.18            322.94           400.00              1.13
  20              675.82            675.65           -15.29           390.17              1.70
  21              547.97            478.07            267.81           409.10              1.70
  22              464.56            450.40            113.83           395.99              1.51
  23              667.38            607.74            275.77           402.46              1.02
  24              323.48            277.86            165.64           393.98              1.70
  25              214.73            195.17            89.54           395.55              1.22
  26              741.11            660.85            335.44           400.42              1.50
  27              277.04            75.96            266.42           387.02              1.56
  28              661.54            651.67            113.86           403.38              1.34
  29              965.03            841.32            472.72           388.12              1.07
  30              304.06            296.24            68.55           406.78              1.68
  31              253.65           -168.72           -189.40           396.52              1.41
  32              639.91            630.76            107.83           398.10              1.32
  33              1008.02            983.59            220.59           404.16              1.13
  34              504.66            492.20            111.47           399.38              1.68
  35              174.68            131.94            114.47           407.08              0.96
  36              788.66            770.67            167.51           427.43              1.54
  37              293.15            271.20            111.31           392.22              1.25
  38              433.90            330.46            281.17           392.65              1.63
  39              192.73            142.67            129.58           397.12              1.38
  40              489.59            477.60            107.67           390.72              1.62
  41              614.07            611.34            57.75           404.98              1.33
  42              726.66            671.40            277.94           404.10              1.17
  43              274.25            269.75            49.47           394.87              1.39
  44              405.08            279.11            293.58           384.77              1.02
  45              1208.64            1204.30            102.37           393.53              1.56
  46              554.70            550.93            64.56           402.08              1.35
  47              768.85            609.67            468.44           395.43              0.92
  48              500.24            489.14            104.77           398.00              1.59
  49              656.38            615.05            229.24           403.35              1.56
  50              505.60            423.07            276.84           400.86              1.33
mean              559.93            506.37            179.45           397.70              1.40
  548              537.23
 MinFrequencyDrift        1.28
