Time: 2020 9 4 18:48:22.66  LOC: X:-2171833.42  Y:4385950.45  Z:4076246.44
iiindex      Error_distance          E                N             DOP                FrequencyDrift
   1              351.32            47.41           -348.10           613.80              0.23
   2              409.97           -401.71            81.88           530.99             -0.56
   3              210.47           -189.36           -91.87           436.93             -0.21
   4              232.16           -38.76           -228.90           562.33             -0.07
   5              313.58           -68.03           -306.11           550.23              0.20
   6              137.22           -59.68           -123.56           979.00              0.27
   7              226.79            148.69           -171.25           773.52             -0.01
   8              116.75            26.14           -113.78           563.43              0.08
   9              286.10           -285.73           -14.53           547.63             -0.23
  10              538.24           -506.49           -182.12           431.34              0.29
  11              472.47           -448.55           -148.44           1286.07             -0.11
  12              374.83           -110.35           -358.22           773.05              0.21
  13              275.11            4.20           -275.08           664.90              0.01
  14              314.63           -226.46           -218.43           569.10             -0.06
  15              280.07           -24.13           -279.03           568.28             -0.00
  16              440.24           -418.25           -137.40           578.79             -0.17
  17              290.78           -157.73           -244.28           405.36             -0.41
  18              569.82           -507.75           -258.63           820.20              0.25
  19              419.63           -115.94           -403.29           599.01              0.08
  20              296.58            97.70           -280.03           637.13             -0.38
  21              486.23            368.83           -316.83           553.87             -0.50
  22              425.01           -356.39           -231.55           562.16              0.20
  23              437.13            201.64           -387.84           724.38             -0.29
  24              177.77            89.99           -153.31           625.02             -0.02
  25              359.82            204.89           -295.79           543.23              0.11
  26              202.59            131.53           -154.08           1395.92             -0.48
  27              190.77            64.41           -179.56           828.23             -0.36
  28              352.79            149.37           -319.61           560.29              0.12
  29              306.43           -289.85           -99.44           528.73             -0.42
  30              148.88            10.68           -148.49           846.52             -0.53
  31              244.17           -208.41           -127.23           591.56             -0.46
  32              249.04           -147.51           -200.65           561.32             -0.02
  33              270.85            101.60           -251.07           549.70              0.20
  34              268.66            110.75           -244.76           528.58              0.04
  35              344.37           -284.83           -193.55           800.08             -0.42
  36              233.35            78.75           -219.66           621.65              0.07
  37              361.65            80.12           -352.67           577.30             -0.30
  38              334.41           -206.47           -263.06           712.40              0.20
  39              202.66           -100.76           -175.84           549.99             -0.54
  40              409.40           -361.31           -192.53           1292.48              0.02
  41              217.58            66.88           -207.04           772.57              0.16
  42              407.64           -277.89           -298.24           560.25              0.05
  43              255.88            78.92           -243.40           904.66             -0.53
  44              154.35           -150.82            32.80           571.36             -0.43
  45              198.45           -6.34           -198.34           410.43             -0.33
  46              204.21           -118.22           -166.51           629.59             -0.40
  47              212.98           -9.59           -212.76           580.73              0.23
  48              120.95           -44.13           -112.61           572.23              0.11
  49              428.62            250.33           -347.92           605.94              0.17
  50              43.74           -38.47           -20.81           809.11             -0.29
mean              296.14           -76.94           -207.67           665.23             -0.10
  201              221.47
 MinFrequencyDrift       -0.13
