Time: 2020 9 4 18:48:22.66 
LOC: X:-2171833.42  Y:4385950.45  Z:4076246.44
iiindex        X                Y                Z              Lat          lon         H
   1     -2171691.6823     4385771.0425     4076513.1732     39.982362   116.343122   43.615636
   2     -2172216.7527     4385819.3190     4076183.6785     39.978489   116.348380   43.611334
   3     -2171976.9184     4385813.5229     4076316.8347     39.980054   116.345894   43.622623
   4     -2171802.8903     4385801.4433     4076421.8353     39.981289   116.344131   43.615944
   5     -2171807.1016     4385743.9966     4076480.9978     39.981984   116.344473   43.615373
   6     -2171851.6721     4385852.8210     4076341.1155     39.980340   116.344376   43.618592
   7     -2171651.3438     4385917.8243     4076377.6602     39.980769   116.341936   43.619720
   8     -2171777.5490     4385896.5328     4076333.6253     39.980252   116.343371   43.617708
   9     -2172085.3346     4385815.2809     4076257.5640     39.979358   116.347022   43.616577
  10     -2172235.3801     4385620.8183     4076385.9882     39.980867   116.349607   43.630768
  11     -2172193.0572     4385665.9248     4076360.1714     39.980564   116.348928   43.621138
  12     -2171830.1691     4385695.2118     4076520.9185     39.982453   116.344969   43.611516
  13     -2171751.2227     4385793.9181     4076457.2136     39.981704   116.343628   43.612023
  14     -2171974.0766     4385724.1806     4076413.8078     39.981194   116.346328   43.615568
  15     -2171775.4862     4385779.0709     4076460.2446     39.981740   116.343960   43.614668
  16     -2172169.0517     4385685.7198     4076351.7119     39.980464   116.348573   43.613960
  17     -2171905.1231     4385739.7986     4076433.6246     39.981427   116.345524   43.624903
  18     -2172214.6892     4385576.2069     4076444.6034     39.981556   116.349621   43.624085
  19     -2171822.3281     4385666.7746     4076555.4605     39.982859   116.345034   43.613873
  20     -2171666.0165     4385832.5580     4076461.0079     39.981749   116.342533   43.611352
  21     -2171412.5487     4385931.6783     4076489.2072     39.982080   116.339359   43.618073
  22     -2172086.7791     4385658.9655     4076423.8624     39.981312   116.347849   43.622270
  23     -2171542.1342     4385816.5984     4076543.6189     39.982720   116.341316   43.613571
  24     -2171709.0633     4385902.1035     4076363.9185     39.980608   116.342623   43.620350
  25     -2171565.4659     4385871.0549     4076473.0860     39.981891   116.341278   43.619553
  26     -2171671.6161     4385920.0949     4076364.5067     39.980615   116.342137   43.620240
  27     -2171724.5021     4385875.6355     4076384.0303     39.980844   116.342923   43.617053
  28     -2171608.4335     4385832.6994     4076491.3380     39.982105   116.341928   43.618219
  29     -2172064.8163     4385764.5692     4076322.6389     39.980123   116.347070   43.628051
  30     -2171781.5137     4385869.6844     4076360.2261     39.980564   116.343552   43.621072
  31     -2171983.9069     4385784.7112     4076343.9327     39.980373   116.346117   43.625986
  32     -2171908.3977     4385769.4446     4076400.1861     39.981034   116.345404   43.609921
  33     -2171670.7825     4385850.9673     4076438.8218     39.981488   116.342488   43.617658
  34     -2171664.3781     4385858.6584     4076433.9906     39.981431   116.342380   43.617207
  35     -2172033.4750     4385712.6007     4076394.7456     39.980970   116.347011   43.615324
  36     -2171700.2187     4385858.9077     4076414.7564     39.981205   116.342755   43.616012
  37     -2171661.0676     4385782.9382     4076516.6739     39.982403   116.342739   43.624031
  38     -2171943.4375     4385707.3486     4076448.0097     39.981596   116.346094   43.614670
  39     -2171873.5787     4385804.4963     4076381.1797     39.980811   116.344857   43.626579
  40     -2172102.3051     4385679.2524     4076393.9587     39.980961   116.347907   43.618250
  41     -2171714.4543     4385860.9094     4076405.0894     39.981092   116.342894   43.619528
  42     -2171997.4077     4385655.4038     4076474.9632     39.981913   116.346930   43.618405
  43     -2171693.2900     4385845.3191     4076432.9441     39.981419   116.342753   43.615475
  44     -2171977.9288     4385902.4081     4076221.3029     39.978932   116.345443   43.621790
  45     -2171782.5520     4385833.4374     4076398.4302     39.981013   116.343751   43.631272
  46     -2171891.8839     4385802.1070     4076374.0289     39.980727   116.345061   43.615922
  47     -2171781.3481     4385823.6832     4076409.4704     39.981143   116.343789   43.617641
  48     -2171840.8601     4385866.0248     4076332.7233     39.980241   116.344194   43.616702
  49     -2171509.8860     4385861.1922     4076513.0290     39.982360   116.340746   43.615574
  50     -2171861.9628     4385921.3945     4076262.3802     39.979414   116.344127   43.617596
