Time: 2020 9 4 18:48:22.66  LOC: X:-2171833.42  Y:4385950.45  Z:4076246.44
iiindex      Error_distance          E                N             DOP                FrequencyDrift
   1              269.25           -189.68           -191.10           717.27              0.00
   2              299.79            269.32           -131.69           833.02             -0.40
   3              254.65            9.90           -254.45           574.37             -0.29
   4              72.80           -1.48           -72.78           584.58             -0.32
   5              291.00           -91.99           -276.07           426.13             -0.26
   6              250.11            92.39           -232.43           593.81             -0.08
   7              292.33           -213.21           -200.00           631.80              0.14
   8              269.61            238.59           -125.55           605.51             -0.53
   9              240.38            145.76           -191.14           584.08              0.07
  10              218.16            30.51           -216.02           663.05             -0.07
  11              338.54            97.19           -324.29           653.67             -0.38
  12              381.18           -353.19           -143.37           556.29             -0.03
  13              351.65            290.25           -198.51           814.86             -0.58
  14              438.00           -365.83           -240.87           791.27              0.08
  15              222.14            157.24           -156.91           665.62             -0.65
  16              338.68           -331.25           -70.58           568.73             -0.41
  17              227.41           -183.66           -134.11           568.20              0.02
  18              263.66            200.70           -171.00           566.54             -0.29
  19              262.98           -7.69           -262.87           568.94              0.10
  20              305.85            21.03           -305.12           857.81             -0.12
  21              263.38           -209.68           -159.38           646.21             -0.17
  22              277.69            180.51           -211.01           575.73             -0.24
  23              279.89            204.20           -191.41           575.03             -0.26
  24              341.81           -316.25           -129.69           527.29              0.16
  25              229.33            9.21           -229.14           640.06              0.15
  26              328.76           -49.25           -325.05           580.54              0.17
  27              190.55           -46.03           -184.91           539.42             -0.13
  28              139.36           -62.38           -124.61           419.81             -0.31
  29              527.89           -524.96            55.60           538.30             -0.22
  30              375.40            270.87           -259.91           643.63             -0.15
  31              427.44            281.51           -321.65           637.44             -0.62
  32              759.09            625.72           -429.76           541.77             -0.18
  33              234.43           -28.66           -232.67           704.28             -0.03
  34              221.32           -35.32           -218.48           561.01              0.07
  35              168.39            117.13           -120.97           565.90             -0.19
  36              155.03            118.52           -99.93           848.96             -0.66
  37              184.41            85.64           -163.31           852.61             -0.48
  38              287.08            273.55           -87.10           567.91             -0.50
  39              341.38            300.19           -162.55           909.88             -0.43
  40              287.58           -262.68           -117.05           1320.83             -0.60
  41              385.50            132.47           -362.03           603.79              0.13
  42              162.37           -17.34           -161.44           541.59             -0.33
  43              188.27           -3.92           -188.22           439.98             -0.64
  44              150.45            89.14           -121.20           715.49             -0.15
  45              389.88            252.10           -297.41           550.01              0.10
  46              341.57           -304.72           -154.32           544.50             -0.33
  47              580.76           -580.22           -25.18           555.60             -0.33
  48              178.32            132.11           -119.77           1352.45             -0.57
  49              292.21            242.90           -162.44           761.79             -0.14
  50              281.83            115.97           -256.87           685.57             -0.15
mean              291.19            16.10           -189.22           655.46             -0.22
  218              189.90
 MinFrequencyDrift       -0.26
