Time: 202010 5 14:35:39.82  LOC: X:-2197536.23  Y:4387211.61  Z:4061158.29
iiindex      Error_distance          E                N             DOP                FrequencyDrift
   1              41294.45            22308.32            34749.86           400.05             -3.07
   2              41282.10            24096.44            33519.48           389.67             -2.72
   3              40832.76            21885.16            34472.27           401.63             -2.64
   4              43165.50            25873.18            34551.67           393.03             -3.26
   5              42928.52            25025.91            34878.94           402.47             -3.16
   6              44087.12            28664.41            33496.31           386.89             -2.84
   7              44917.66            28104.30            35038.82           401.67             -2.82
   8              42845.51            25533.45            34405.81           395.48             -2.83
   9              41269.99            21833.76            35021.15           399.75             -2.60
  10              39886.65            21605.43            33528.12           388.69             -2.87
  11              40922.08            21983.57            34515.53           394.11             -2.59
  12              42924.57            25768.06            34329.36           402.36             -2.60
  13              41152.32            22740.48            34298.19           399.34             -3.46
  14              40556.80            22782.69            33552.74           392.74             -3.04
  15              44504.14            27138.83            35271.50           400.91             -3.46
  16              43816.93            28139.77            33586.52           388.46             -3.38
  17              40689.43            23517.28            33204.68           388.98             -3.11
  18              41010.82            22407.57            34347.79           404.17             -3.18
  19              44067.05            27146.05            34712.74           398.12             -2.59
  20              43855.39            28134.24            33641.31           396.91             -3.35
  21              41607.55            24504.19            33626.10           390.40             -3.10
  22              44255.92            28324.56            34004.16           393.70             -3.22
  23              43514.31            26462.82            34542.61           400.42             -3.04
  24              41811.26            24199.49            34096.14           390.03             -2.76
  25              39265.37            19980.11            33801.63           398.30             -3.05
  26              42343.29            24709.03            34386.02           395.20             -3.04
  27              44153.06            27707.47            34376.81           397.83             -2.70
  28              45304.21            29002.27            34803.93           395.49             -2.72
  29              40728.51            22492.72            33953.97           398.05             -2.81
  30              40032.12            21882.19            33522.00           390.28             -3.00
  31              42419.22            24965.81            34294.01           391.40             -2.75
  32              41978.31            23636.39            34691.21           399.72             -2.77
  33              41173.72            23974.07            33473.90           398.58             -3.09
  34              43068.37            26176.16            34200.48           392.21             -2.75
  35              44425.64            27551.80            34849.85           392.40             -2.88
  36              42895.81            26087.79            34050.80           394.50             -2.86
  37              44238.90            27223.89            34870.00           389.05             -3.31
  38              41399.94            24433.42            33420.73           390.08             -3.17
  39              44433.00            28693.45            33925.71           390.84             -3.38
  40              40036.11            21941.57            33487.93           395.04             -3.06
  41              42483.53            24436.43            34751.85           390.29             -3.27
  42              44253.55            27467.38            34697.21           395.71             -3.38
  43              43099.28            26539.51            33958.52           393.21             -3.18
  44              40670.42            22020.79            34192.85           394.86             -3.38
  45              44385.72            26848.38            35344.49           396.06             -2.67
  46              40901.82            23237.96            33659.16           392.90             -2.66
  47              41120.35            23386.48            33822.16           402.43             -2.84
  48              40937.41            24330.65            32922.23           404.21             -3.36
  49              40911.24            22810.23            33961.83           401.61             -2.84
  50              43574.80            25748.59            35153.26           388.34             -3.30
mean              42348.65            24909.29            34199.29           395.37             -3.00
 1368              42309.15
 MinFrequencyDrift       -3.02
