Time: 2020 9 2 17:28:2.83 
LOC: X:-2171824.87  Y:4385918.54  Z:4076294.62
iiindex        X                Y                Z              Lat          lon         H
   1     -2171962.1899     4386473.8423     4075628.3923     39.971917   116.342309   49.772929
   2     -2172161.0385     4386293.8556     4075715.5456     39.972941   116.345330   49.776530
   3     -2171817.1964     4386572.2340     4075599.9572     39.971583   116.340277   49.775468
   4     -2172182.7912     4386230.0203     4075772.2637     39.973608   116.345890   49.773191
   5     -2171988.8158     4386342.1071     4075755.1241     39.973406   116.343273   49.770918
   6     -2172159.5812     4386364.9176     4075640.3546     39.972058   116.344945   49.779023
   7     -2172123.8486     4386314.4250     4075713.2341     39.972914   116.344833   49.769846
   8     -2171644.8735     4386621.3151     4075638.6797     39.972038   116.338214   49.766391
   9     -2171936.2275     4386375.7212     4075747.0243     39.973311   116.342546   49.769177
  10     -2172117.4913     4386367.7147     4075659.6387     39.972284   116.344489   49.774167
  11     -2172439.2260     4386056.2644     4075822.2446     39.974195   116.349482   49.776778
  12     -2171663.1460     4386740.9337     4075501.1504     39.970422   116.337785   49.785492
  13     -2172019.7425     4386358.5990     4075721.1252     39.973007   116.343511   49.772127
  14     -2172055.8351     4386370.7550     4075689.0272     39.972630   116.343827   49.773956
  15     -2171971.3751     4386541.5232     4075551.1762     39.971010   116.342054   49.774616
  16     -2172434.9840     4386184.0679     4075687.8824     39.972616   116.348774   49.781079
  17     -2172186.1198     4386233.9243     4075766.3365     39.973538   116.345904   49.778413
  18     -2172341.5765     4386220.4580     4075698.4345     39.972740   116.347605   49.780185
  19     -2171963.3658     4386296.7989     4075817.0331     39.974134   116.343241   49.773350
  20     -2172119.9853     4386312.0919     4075717.7813     39.972967   116.344805   49.774991
  21     -2172377.4070     4386192.6205     4075709.2170     39.972867   116.348125   49.776725
  22     -2171699.5836     4386494.8148     4075744.9829     39.973287   116.339445   49.780492
  23     -2172008.0390     4386432.7871     4075648.0120     39.972148   116.343003   49.772722
  24     -2172070.3575     4386369.9619     4075682.1867     39.972549   116.343983   49.773516
  25     -2171945.3446     4386414.2798     4075700.9777     39.972770   116.342442   49.768660
  26     -2171832.7819     4386555.5044     4075609.5879     39.971696   116.340527   49.772215
  27     -2172152.1411     4386282.1388     4075732.7801     39.973144   116.345297   49.776030
  28     -2171943.7920     4386490.2271     4075620.6109     39.971826   116.342031   49.770519
  29     -2172010.4453     4386368.9461     4075714.9857     39.972935   116.343360   49.772296
  30     -2172002.8590     4386435.5099     4075647.8435     39.972146   116.342935   49.772917
  31     -2171629.0879     4386708.9463     4075553.3722     39.971035   116.337594   49.782950
  32     -2171907.4167     4386539.8535     4075586.8142     39.971428   116.341392   49.772473
  33     -2172202.1696     4386290.9642     4075696.8566     39.972722   116.345776   49.772975
  34     -2172146.6702     4386377.4772     4075633.7494     39.971980   116.344745   49.770357
  35     -2171902.2770     4386648.1061     4075473.7976     39.970100   116.340775   49.770987
  36     -2171776.0899     4386553.5379     4075641.7149     39.972073   116.339943   49.783095
  37     -2172155.1799     4386327.7132     4075682.4539     39.972552   116.345093   49.777010
  38     -2171914.3570     4386569.6321     4075551.2960     39.971011   116.341310   49.767260
  39     -2171989.3711     4386461.9035     4075626.7714     39.971898   116.342656   49.775591
  40     -2171889.7570     4386369.3201     4075778.4692     39.973681   116.342092   49.771956
  41     -2171910.3948     4386459.0691     4075671.5979     39.972425   116.341842   49.769813
  42     -2171932.0168     4386416.5283     4075705.6373     39.972825   116.342290   49.774159
  43     -2171578.9375     4386665.8801     4075625.9377     39.971888   116.337291   49.769768
  44     -2172049.2378     4386390.7314     4075671.1636     39.972420   116.343654   49.773598
  45     -2172014.3448     4386460.6973     4075614.8371     39.971758   116.342924   49.773167
  46     -2172153.2313     4386224.1122     4075794.2303     39.973866   116.345610   49.774930
  47     -2172154.2660     4386258.4209     4075757.0107     39.973428   116.345443   49.776918
  48     -2171466.9642     4386758.0187     4075586.7105     39.971427   116.335638   49.782395
  49     -2172086.4140     4386278.7790     4075771.1739     39.973595   116.344625   49.781333
  50     -2172018.9430     4386353.1819     4075727.3496     39.973080   116.343531   49.778731
