Time: 202010 5 14:35:39.82 
LOC: X:-2197536.23  Y:4387211.61  Z:4061158.29
iiindex        X                Y                Z              Lat          lon         H
   1     -2187506.7178     4417000.0266     4034376.0036     39.488985   116.346783   25.548821
   2     -2185555.2581     4417096.7305     4035321.3421     39.500018   116.325953   25.583779
   3     -2187806.5152     4416653.6796     4034591.1720     39.491496   116.351693   25.555602
   4     -2184258.2752     4418474.6107     4034520.3222     39.490669   116.305337   25.514551
   5     -2185110.1849     4418283.5582     4034269.9082     39.487747   116.315198   25.504216
   6     -2181457.9070     4419116.3483     4035327.1196     39.500086   116.272845   25.546893
   7     -2182398.8839     4419744.2963     4034138.2775     39.486211   116.279422   25.441944
   8     -2184520.9559     4418240.4601     4034633.7620     39.491993   116.309280   25.514965
   9     -2188008.8345     4416942.8378     4034167.6424     39.486553   116.352308   25.495256
  10     -2187788.0170     4415992.1583     4035320.3833     39.500007   116.354914   25.587377
  11     -2187730.7246     4416722.1193     4034557.5609     39.491104   116.350550   25.546830
  12     -2184289.0733     4418301.3853     4034692.1373     39.492675   116.306550   25.479001
  13     -2186991.1576     4416935.7010     4034723.5983     39.493041   116.341744   25.557708
  14     -2186741.0128     4416530.5615     4035298.7405     39.499755   116.341228   25.545117
  15     -2183329.8440     4419447.1065     4033961.4099     39.484146   116.290653   25.504499
  16     -2181953.4964     4418934.3087     4035259.0148     39.499291   116.278948   25.565308
  17     -2185984.1579     4416659.7972     4035565.6392     39.502870   116.332675   25.597199
  18     -2187303.3297     4416815.5840     4034686.0406     39.492603   116.345616   25.505868
  19     -2183164.2356     4419132.6015     4034392.6162     39.489179   116.290547   25.478364
  20     -2181974.0419     4418962.9682     4035216.7230     39.498797   116.279015   25.513126
  21     -2185220.5259     4417338.9033     4035238.0649     39.499046   116.321217   25.567918
  22     -2181906.9288     4419253.9421     4034936.1483     39.495523   116.276817   25.456468
  23     -2183727.6467     4418731.8539     4034525.7471     39.490733   116.298482   25.483459
  24     -2185627.2375     4417470.5235     4034876.0695     39.494821   116.324776   25.527291
  25     -2189320.9727     4415423.4416     4035112.7225     39.497583   116.373818   25.597765
  26     -2185253.5431     4417862.2102     4034651.1123     39.492196   116.318863   25.509800
  27     -2182565.7586     4419191.3815     4034650.3375     39.492187   116.284007   25.502451
  28     -2181527.7363     4420010.1479     4034316.9958     39.488297   116.268974   25.452727
  29     -2187114.9278     4416629.5880     4034989.7932     39.496148   116.344613   25.550564
  30     -2187538.4995     4416111.9864     4035324.5044     39.500055   116.351696   25.594991
  31     -2184997.4037     4417924.1878     4034721.4614     39.493017   116.315875   25.488317
  32     -2186300.9182     4417558.1464     4034418.1740     39.489477   116.331343   25.499039
  33     -2185651.8261     4417016.2761     4035356.7737     39.500432   116.327374   25.525846
  34     -2183886.9127     4418409.7325     4034790.5432     39.493823   116.301801   25.491613
  35     -2182839.9091     4419391.0982     4034285.7030     39.487931   116.285836   25.498493
  36     -2183923.4392     4418285.3404     4034906.3260     39.495174   116.302822   25.566321
  37     -2183139.3318     4419256.6844     4034271.0720     39.487760   116.289648   25.529056
  38     -2185225.3816     4417190.5843     4035396.7042     39.500898   116.322032   25.555478
  39     -2181554.2134     4419373.4550     4034995.6729     39.496217   116.272526   25.524331
  40     -2187475.6301     4416119.0580     4035350.6616     39.500360   116.351005   25.589740
  41     -2185601.8440     4417948.8781     4034369.4672     39.488908   116.322046   25.528396
  42     -2182872.0355     4419266.7490     4034403.7338     39.489309   116.286811   25.494296
  43     -2183492.5984     4418433.8290     4034976.2923     39.495991   116.297567   25.481507
  44     -2187605.4974     4416555.2009     4034806.4924     39.494009   116.350107   25.539694
  45     -2183610.7519     4419359.3737     4033905.8651     39.483498   116.294032   25.512823
  46     -2186363.7159     4416793.8721     4035215.5876     39.498784   116.335939   25.571718
  47     -2186277.1512     4416952.6774     4035089.4283     39.497312   116.334218   25.518759
  48     -2185175.3956     4416861.3234     4035781.6174     39.505391   116.323208   25.592609
  49     -2186832.8956     4416775.4756     4034982.9969     39.496069   116.340922   25.540718
  50     -2184541.1735     4418761.2057     4034056.3559     39.485254   116.306808   25.503378
